By Year,TEAM,GP,MIN,%FGA,%FGA.1,%PTS,%PTS.1,%PTS.2,%PTS.3,%PTS.4,%PTS.5,%PTS.6,2FGM,2FGM.1,3FGM,3FGM.1,FGM,FGM.1,player_name,player_id
2019-20,POR,70,36.5,62.2,37.8,53.6,19.5,37.4,14.2,9.0,12.5,34.1,22.3,77.7,66.5,33.5,36.3,63.7,CJ McCollum,36
2018-19,POR,70,33.9,64.2,35.8,55.0,21.8,34.1,12.9,10.9,12.0,33.2,35.6,64.4,73.1,26.9,46.6,53.4,CJ McCollum,36
2017-18,POR,81,36.1,68.4,31.6,55.2,21.8,32.7,9.5,12.1,13.2,33.4,21.8,78.2,62.4,37.6,33.3,66.7,CJ McCollum,36
2016-17,POR,80,34.9,69.5,30.5,55.2,25.0,30.2,9.7,14.6,12.3,30.2,26.0,74.0,74.1,25.9,38.9,61.1,CJ McCollum,36
2015-16,POR,80,34.7,67.0,33.0,53.3,24.7,35.5,10.4,11.2,14.9,28.6,20.3,79.7,72.1,27.9,36.2,63.8,CJ McCollum,36
2014-15,POR,62,15.7,61.9,38.1,49.1,20.3,38.9,16.7,12.0,19.8,28.8,28.8,71.2,85.5,14.5,48.4,51.6,CJ McCollum,36
2013-14,POR,38,12.5,55.1,44.9,43.8,17.9,44.8,11.9,11.4,17.4,25.9,36.4,63.6,90.0,10.0,58.1,41.9,CJ McCollum,36
2024-25,UTA,34,28.5,64.7,35.3,49.5,5.0,33.9,15.3,16.6,12.8,44.5,37.6,62.4,64.7,35.3,46.1,53.9,Collin Sexton,67
2023-24,UTA,78,26.6,68.7,31.3,51.9,4.9,26.3,17.8,21.8,15.8,46.9,41.8,58.2,80.5,19.5,51.6,48.4,Collin Sexton,67
2022-23,UTA,48,23.9,73.9,26.1,55.2,5.8,21.0,11.7,23.8,15.5,49.3,32.8,67.2,72.9,27.1,40.9,59.1,Collin Sexton,67
2021-22,CLE,11,28.8,70.2,29.8,64.8,8.0,18.8,18.8,16.4,18.2,56.8,42.1,57.9,81.8,18.2,48.5,51.5,Collin Sexton,67
2020-21,CLE,60,35.3,76.1,23.9,58.5,7.7,20.1,12.9,21.4,16.0,50.8,42.2,57.8,68.4,31.6,47.0,53.0,Collin Sexton,67
2019-20,CLE,65,33.0,76.5,23.5,61.7,9.8,21.6,15.5,16.7,13.9,51.9,29.3,70.7,74.2,25.8,37.8,62.2,Collin Sexton,67
2018-19,CLE,82,31.8,75.5,24.5,58.4,21.2,26.0,14.9,15.6,13.6,37.2,31.8,68.3,63.9,36.1,39.1,60.9,Collin Sexton,67
2024-25,MIL,24,36.3,46.9,53.1,34.1,9.3,40.7,7.6,25.2,7.9,24.8,14.6,85.4,48.8,51.2,29.7,70.3,Damian Lillard,14
2023-24,MIL,73,35.3,51.3,48.7,36.2,8.2,37.2,7.5,26.6,10.5,27.9,19.6,80.4,50.9,49.1,32.3,67.7,Damian Lillard,14
2022-23,POR,58,36.3,45.3,54.7,33.4,6.0,39.2,8.6,27.4,11.9,27.4,15.7,84.3,51.6,48.4,31.5,68.5,Damian Lillard,14
2021-22,POR,29,36.4,48.6,51.4,37.4,10.9,39.7,7.9,22.9,11.5,26.5,19.2,80.8,44.6,55.4,29.7,70.3,Damian Lillard,14
2020-21,POR,67,35.8,47.2,52.8,33.9,7.5,42.8,8.4,23.3,12.0,26.5,17.7,82.3,39.3,60.7,27.6,72.4,Damian Lillard,14
2019-20,POR,66,37.5,50.0,50.0,35.8,6.6,41.0,8.2,23.2,10.1,29.2,9.9,90.1,28.9,71.1,18.1,81.9,Damian Lillard,14
2018-19,POR,80,35.5,58.1,41.9,43.0,12.7,34.4,10.2,22.6,13.4,30.3,19.4,80.6,46.0,54.0,28.6,71.4,Damian Lillard,14
2017-18,POR,73,36.6,55.5,44.5,40.2,11.6,34.7,8.1,25.1,12.8,28.5,18.0,82.0,43.6,56.4,27.4,72.6,Damian Lillard,14
2016-17,POR,75,35.9,61.1,38.9,44.2,12.4,31.7,9.4,24.1,13.0,31.8,23.5,76.5,49.5,50.5,31.9,68.1,Damian Lillard,14
2015-16,POR,75,35.7,58.6,41.4,41.4,13.1,36.6,8.0,22.0,11.0,28.3,20.3,79.7,47.2,52.8,30.3,69.7,Damian Lillard,14
2014-15,POR,82,35.7,57.9,42.1,45.8,11.7,34.2,11.1,20.0,13.4,34.1,24.1,75.9,51.0,49.0,33.1,66.9,Damian Lillard,14
2013-14,POR,82,35.8,57.5,42.5,39.5,11.0,38.6,10.4,21.9,14.6,28.6,26.9,73.1,59.6,40.4,39.8,60.2,Damian Lillard,14
2012-13,POR,82,38.6,60.9,39.1,47.1,19.0,35.5,10.7,17.4,16.0,28.2,23.6,76.4,53.5,46.5,33.6,66.4,Damian Lillard,14
2024-25,CLE,34,30.0,54.1,45.9,43.0,9.8,43.0,13.8,14.0,17.4,33.3,33.3,66.7,60.0,40.0,44.0,56.0,Darius Garland,44
2023-24,CLE,57,33.3,57.7,42.3,47.3,9.9,38.5,12.5,14.2,13.3,37.4,34.6,65.4,65.2,34.8,45.3,54.7,Darius Garland,44
2022-23,CLE,69,35.5,63.5,36.5,47.4,11.1,34.0,9.9,18.6,18.6,36.2,28.6,71.4,58.0,42.0,38.1,61.9,Darius Garland,44
2021-22,CLE,68,35.7,61.3,38.7,50.0,14.0,35.4,8.6,14.6,14.1,36.0,26.1,73.9,48.9,51.1,33.4,66.6,Darius Garland,44
