By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp.1,Opp.2,Opp.3,BLK,BLKA,PF,PFD,player_name,player_id
2022-23,PHX,67,30.4,2.8,3.2,0.6,13.2,9.6,8.9,8.7,30.6,0.8,0.6,2.8,2.5,Deandre Ayton,95
2021-22,PHX,58,29.5,2.2,2.3,0.6,13.2,8.5,9.0,7.2,27.3,0.7,0.6,2.4,2.1,Deandre Ayton,95
2020-21,PHX,69,30.6,1.9,3.1,0.8,11.2,10.0,8.3,8.0,30.0,1.2,0.7,2.8,2.4,Deandre Ayton,95
2019-20,PHX,38,32.5,2.8,3.3,1.7,13.5,10.6,8.4,9.3,33.4,1.5,1.0,3.1,2.4,Deandre Ayton,95
2018-19,PHX,71,30.7,2.3,3.3,0.9,11.8,12.6,8.8,10.8,35.0,0.9,0.6,2.9,2.8,Deandre Ayton,95
2024-25,ATL,25,27.9,3.4,1.6,3.2,6.0,12.2,7.6,10.2,28.7,0.1,0.8,2.3,4.2,Deandre Hunter,42
2023-24,ATL,57,29.5,2.1,1.5,1.4,4.6,10.2,8.5,9.9,32.6,0.3,0.5,2.6,3.4,Deandre Hunter,42
2022-23,ATL,67,31.7,2.3,1.4,2.0,5.1,9.9,8.9,10.6,36.6,0.3,0.7,3.0,3.3,Deandre Hunter,42
2021-22,ATL,53,29.8,2.0,0.9,1.4,5.2,9.5,8.2,7.9,29.8,0.4,0.7,2.9,2.9,Deandre Hunter,42
2020-21,ATL,23,29.5,2.0,1.6,1.1,5.6,9.2,8.5,8.1,28.8,0.5,0.3,2.6,3.2,Deandre Hunter,42
2019-20,ATL,63,32.0,1.6,1.3,1.7,4.0,12.7,9.4,10.6,35.9,0.3,0.9,2.9,2.1,Deandre Hunter,42
2024-25,NOP,20,33.7,3.1,1.3,3.0,7.4,14.7,10.2,14.2,38.8,0.5,0.7,2.3,2.4,Dejounte Murray,81
2023-24,ATL,78,35.7,3.0,1.7,2.6,8.8,12.6,10.4,12.5,40.5,0.3,0.9,1.8,2.5,Dejounte Murray,81
2022-23,ATL,74,36.4,3.1,1.1,2.4,8.4,11.2,9.6,11.7,42.1,0.3,0.8,1.4,2.1,Dejounte Murray,81
2021-22,SAS,68,34.8,3.2,1.4,2.9,10.1,10.1,10.2,8.7,36.6,0.3,0.9,2.0,3.3,Dejounte Murray,81
2020-21,SAS,67,31.9,2.3,1.2,2.4,7.2,8.9,8.6,7.4,32.8,0.1,0.8,2.0,2.0,Dejounte Murray,81
2019-20,SAS,66,25.6,1.9,0.8,2.1,5.0,8.1,7.0,7.3,26.3,0.3,0.6,2.2,1.6,Dejounte Murray,81
2017-18,SAS,81,21.5,1.5,1.0,1.5,5.3,6.5,5.0,5.5,18.9,0.4,0.6,1.9,1.8,Dejounte Murray,81
2016-17,SAS,38,8.5,0.7,0.2,0.6,2.1,2.7,2.2,1.6,7.2,0.2,0.2,0.8,0.7,Dejounte Murray,81
2024-25,SAC,32,35.4,2.4,1.6,1.0,6.2,11.7,9.5,9.6,31.7,0.4,0.7,2.1,3.8,Demar Derozan,43
2023-24,CHI,79,37.8,3.2,1.9,0.9,8.6,11.8,10.5,9.9,35.5,0.6,0.9,2.0,5.6,Demar Derozan,43
2022-23,CHI,74,36.2,3.3,1.5,1.1,7.9,11.2,8.6,9.5,34.6,0.5,0.8,2.5,5.4,Demar Derozan,43
2021-22,CHI,76,36.1,3.4,1.7,1.5,9.9,10.8,9.8,8.9,37.3,0.3,1.1,2.3,5.7,Demar Derozan,43
2020-21,SAS,61,33.7,2.7,1.6,1.6,9.2,9.7,9.2,8.9,37.0,0.2,1.0,2.1,5.4,Demar Derozan,43
2019-20,SAS,68,34.1,2.8,1.5,1.9,11.1,10.3,10.3,9.8,34.6,0.3,0.9,2.6,4.9,Demar Derozan,43
2018-19,SAS,77,34.9,2.5,1.4,1.4,10.4,10.2,9.2,10.1,33.5,0.5,1.3,2.3,4.9,Demar Derozan,43
2017-18,TOR,80,33.9,3.6,1.5,2.1,8.6,10.2,9.0,8.9,32.4,0.3,1.0,1.9,4.9,Demar Derozan,43
2016-17,TOR,74,35.4,3.5,1.9,2.5,10.3,11.1,10.1,8.9,31.7,0.2,1.2,1.8,5.5,Demar Derozan,43
2015-16,TOR,78,35.9,3.1,1.4,1.8,9.1,11.1,8.8,8.6,30.5,0.3,1.2,2.1,5.5,Demar Derozan,43
2014-15,TOR,60,35.0,3.3,1.2,2.1,6.7,10.8,9.7,8.8,32.2,0.2,1.2,2.0,4.9,Demar Derozan,43
2013-14,TOR,79,38.2,4.0,1.7,2.1,6.4,12.8,10.5,9.3,34.4,0.4,0.7,2.5,5.7,Demar Derozan,43
2012-13,TOR,82,36.7,3.4,1.4,2.2,6.1,12.3,9.9,9.3,32.2,0.3,1.0,2.1,4.1,Demar Derozan,43
2011-12,TOR,63,35.0,3.2,1.1,2.6,6.2,10.6,8.7,8.3,27.0,0.3,1.1,2.6,3.9,Demar Derozan,43
2010-11,TOR,82,34.8,3.0,1.5,3.3,7.6,12.3,9.5,12.2,35.6,0.4,1.1,2.6,3.7,Demar Derozan,43
2009-10,TOR,77,21.6,1.6,0.9,2.2,4.6,6.8,6.1,8.5,20.9,0.2,0.5,2.3,1.9,Demar Derozan,43
