Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Mar 16, 2017 - UTA @ CLE",L,36:50:00,20,10,13,76.9,0,0,0,0,1,0,5,14,19,1,2,2,2,3,-2,
"Mar 15, 2017 - UTA @ DET",W,35:53:00,12,5,6,83.3,0,0,0,2,5,40,3,6,9,5,0,4,4,2,25,
"Mar 13, 2017 - UTA vs. LAC",W,37:08:00,11,5,6,83.3,0,0,0,1,1,100,3,7,10,3,0,1,1,4,2,
"Mar 08, 2017 - UTA @ HOU",W,36:01:00,23,7,8,87.5,0,0,0,9,12,75,2,8,10,1,1,1,2,4,2,
"Mar 06, 2017 - UTA vs. NOP",W,35:59:00,15,6,10,60,0,0,0,3,3,100,8,8,16,3,2,2,2,4,10,
"Mar 05, 2017 - UTA @ SAC",W,41:27:00,16,8,11,72.7,0,0,0,0,2,0,5,18,23,3,1,3,0,3,11,
"Mar 03, 2017 - UTA vs. BKN",W,33:00:00,11,4,4,100,0,0,0,3,6,50,0,7,7,0,0,2,2,3,23,
"Mar 01, 2017 - UTA vs. MIN",L,21:11,9,4,7,57.1,0,0,0,1,2,50,4,4,8,0,0,2,3,3,-11,
"Feb 28, 2017 - UTA @ OKC",L,31:58:00,13,6,9,66.7,0,0,0,1,1,100,1,9,10,0,0,3,1,3,-3,
"Feb 26, 2017 - UTA @ WAS",W,36:11:00,15,2,4,50,0,0,0,11,14,78.6,3,16,19,3,1,4,4,3,13,
"Feb 24, 2017 - UTA @ MIL",W,33:18:00,15,5,7,71.4,0,0,0,5,7,71.4,4,12,16,2,0,3,4,3,6,
"Feb 15, 2017 - UTA vs. POR",W,32:20:00,13,4,5,80,0,0,0,5,8,62.5,3,9,12,0,0,3,3,2,29,
"Feb 13, 2017 - UTA vs. LAC",L,24:51:00,10,5,12,41.7,0,0,0,0,0,0,8,6,14,1,0,1,0,1,-19,
"Feb 11, 2017 - UTA vs. BOS",L,33:45:00,14,5,10,50,0,0,0,4,5,80,4,9,13,0,1,2,2,5,4,
"Feb 09, 2017 - UTA @ DAL",L,35:59:00,15,5,9,55.6,0,0,0,5,6,83.3,3,12,15,3,0,2,5,6,20,
"Feb 08, 2017 - UTA @ NOP",W,29:54:00,10,4,10,40,0,0,0,2,2,100,7,9,16,3,0,2,1,3,29,
"Feb 06, 2017 - UTA @ ATL",W,33:45:00,14,5,5,100,0,0,0,4,7,57.1,1,5,6,3,1,3,2,3,16,
"Feb 04, 2017 - UTA vs. CHA",W,37:47:00,8,2,5,40,0,0,0,4,8,50,6,9,15,2,2,3,1,3,0,
"Feb 01, 2017 - UTA vs. MIL",W,34:07:00,26,9,13,69.2,0,0,0,8,10,80,5,9,14,1,1,1,2,6,22,
"Jan 28, 2017 - UTA vs. MEM",L,38:14:00,15,3,5,60,0,0,0,9,9,100,3,7,10,2,1,1,1,4,3,
"Jan 26, 2017 - UTA vs. LAL",W,37:31:00,9,3,6,50,0,0,0,3,4,75,3,10,13,0,0,6,0,1,9,
"Jan 24, 2017 - UTA @ DEN",L,24:47:00,11,4,8,50,0,0,0,3,5,60,3,6,9,1,0,1,4,4,-3,
"Jan 23, 2017 - UTA vs. OKC",L,36:01:00,12,5,9,55.6,0,0,0,2,7,28.6,3,7,10,1,0,4,1,3,-9,
"Jan 21, 2017 - UTA vs. IND",W,33:26:00,19,8,10,80,0,0,0,3,5,60,5,6,11,0,0,1,2,1,3,
"Jan 20, 2017 - UTA @ DAL",W,41:29:00,27,8,12,66.7,0,0,0,11,17,64.7,10,15,25,1,1,2,2,3,5,
"Jan 16, 2017 - UTA @ PHX",W,36:27:00,18,8,12,66.7,0,0,0,2,5,40,6,11,17,1,1,4,2,1,8,
"Jan 14, 2017 - UTA vs. ORL",W,36:02:00,19,7,9,77.8,0,0,0,5,7,71.4,5,14,19,2,0,2,0,1,-6,
"Jan 13, 2017 - UTA vs. DET",W,30:59:00,6,3,4,75,0,0,0,0,0,0,3,7,10,1,1,3,2,1,11,
"Jan 10, 2017 - UTA vs. CLE",W,36:26:00,11,5,7,71.4,0,0,0,1,1,100,4,10,14,1,3,1,5,3,6,
"Jan 08, 2017 - UTA @ MEM",L,36:16:00,5,1,3,33.3,0,0,0,3,6,50,7,5,12,2,3,1,3,3,3,
