Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team 
"Mar 26, 2023 - MEM @ ATL",W,29:18:00,27,9,17,52.9,0,3,0,9,11,81.8,0,3,3,6,1,0,1,3,1,
"Mar 24, 2023 - MEM vs. HOU",W,19:27,18,8,12,66.7,1,2,50,1,1,100,0,2,2,8,0,1,1,0,30,
"Mar 22, 2023 - MEM vs. HOU",W,23:47,17,6,13,46.2,0,2,0,5,6,83.3,0,4,4,5,2,1,2,3,11,
"Mar 03, 2023 - MEM @ DEN",L,32:56:00,27,8,20,40,2,3,66.7,9,11,81.8,1,3,4,10,2,0,3,2,-15,
"Mar 01, 2023 - MEM @ HOU",W,26:31:00,20,6,12,50,1,2,50,7,10,70,2,5,7,7,2,0,0,0,15,
"Feb 28, 2023 - MEM vs. LAL",W,33:45:00,39,15,29,51.7,0,5,0,9,11,81.8,1,9,10,10,2,0,3,0,14,
"Feb 25, 2023 - MEM vs. DEN",W,24:13:00,23,9,18,50,1,4,25,4,5,80,0,7,7,4,1,0,4,2,19,
"Feb 23, 2023 - MEM @ PHI",L,32:26:00,15,3,16,18.8,0,2,0,9,10,90,0,3,3,5,2,0,3,0,-6,
"Feb 15, 2023 - MEM vs. UTA",W,34:02:00,20,8,26,30.8,1,8,12.5,3,8,37.5,0,8,8,9,2,0,2,2,7,
"Feb 12, 2023 - MEM @ BOS",L,33:55:00,25,9,18,50,0,4,0,7,11,63.6,0,6,6,7,0,0,1,1,2,
"Feb 10, 2023 - MEM vs. MIN",W,32:49:00,32,13,23,56.5,3,7,42.9,3,6,50,3,6,9,9,3,0,5,0,16,
"Feb 07, 2023 - MEM vs. CHI",W,35:20:00,34,12,20,60,4,6,66.7,6,9,66.7,1,5,6,7,1,0,3,2,13,
"Feb 02, 2023 - MEM @ CLE",L,30:21:00,24,9,20,45,0,1,0,6,6,100,3,5,8,8,1,1,3,5,-14,
"Feb 01, 2023 - MEM vs. POR",L,34:22:00,32,8,16,50,3,7,42.9,13,18,72.2,2,7,9,12,1,0,5,2,-6,
"Jan 29, 2023 - MEM vs. IND",W,41:31:00,27,9,21,42.9,1,6,16.7,8,9,88.9,2,8,10,15,2,1,2,3,20,
"Jan 27, 2023 - MEM @ MIN",L,38:04:00,27,10,21,47.6,3,6,50,4,4,100,1,9,10,11,0,0,6,1,-2,
"Jan 25, 2023 - MEM @ GSW",L,35:26:00,29,10,20,50,2,7,28.6,7,12,58.3,1,3,4,12,2,1,5,3,1,
"Jan 22, 2023 - MEM @ PHX",L,36:33:00,27,9,17,52.9,1,2,50,8,10,80,0,5,5,8,1,0,3,1,-1,
"Jan 20, 2023 - MEM @ LAL",L,33:32:00,22,9,29,31,1,6,16.7,3,5,60,2,1,3,8,0,0,5,3,-6,
"Jan 18, 2023 - MEM vs. CLE",W,32:39:00,24,9,19,47.4,0,3,0,6,9,66.7,0,2,2,8,1,0,1,1,-13,
"Jan 16, 2023 - MEM vs. PHX",W,27:14:00,29,11,20,55,5,8,62.5,2,2,100,0,2,2,7,1,0,1,1,14,
"Jan 14, 2023 - MEM @ IND",W,25:15:00,23,7,17,41.2,0,3,0,9,12,75,1,2,3,10,0,1,2,1,17,
"Jan 11, 2023 - MEM vs. SAS",W,32:14:00,38,14,25,56,3,5,60,7,9,77.8,3,2,5,4,0,1,5,0,-3,
"Jan 05, 2023 - MEM @ ORL",W,35:30:00,32,13,21,61.9,1,5,20,5,7,71.4,2,3,5,6,1,0,3,0,-8,
"Jan 04, 2023 - MEM @ CHA",W,26:40:00,23,8,17,47.1,2,5,40,5,6,83.3,0,1,1,8,2,0,1,1,16,
"Jan 01, 2023 - MEM vs. SAC",W,32:47:00,35,13,23,56.5,1,5,20,8,10,80,0,7,7,5,1,1,3,4,8,
"Dec 31, 2022 - MEM vs. NOP",W,30:52:00,32,13,22,59.1,0,6,0,6,7,85.7,0,3,3,8,2,0,4,0,7,
"Dec 29, 2022 - MEM @ TOR",W,35:35:00,19,9,19,47.4,1,4,25,0,0,0,0,4,4,17,0,1,3,1,21,
