Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Dec 21, 2018 - NOP @ LAL",L,33:37:00,21,9,15,60,0,1,0,3,5,60,0,8,8,2,0,1,3,3,-16,
"Dec 16, 2018 - NOP vs. MIA",L,30:12:00,17,6,13,46.2,1,1,100,4,5,80,2,8,10,2,1,1,1,4,-9,
"Dec 12, 2018 - NOP vs. OKC",W,31:43:00,22,9,16,56.3,0,2,0,4,8,50,2,10,12,3,0,1,3,4,15,
"Dec 10, 2018 - NOP @ BOS",L,28:26:00,20,7,13,53.8,0,0,0,6,8,75,2,9,11,4,0,0,5,4,-4,
"Dec 09, 2018 - NOP @ DET",W,33:35:00,28,11,19,57.9,0,2,0,6,7,85.7,2,4,6,5,0,2,1,5,18,
"Dec 07, 2018 - NOP vs. MEM",L,34:51:00,26,10,19,52.6,1,3,33.3,5,8,62.5,3,10,13,3,2,0,2,3,7,
"Dec 05, 2018 - NOP vs. DAL",W,35:28:00,27,11,16,68.8,2,3,66.7,3,7,42.9,2,16,18,1,0,0,1,2,21,
"Dec 03, 2018 - NOP vs. LAC",L,39:15:00,37,15,24,62.5,3,4,75,4,7,57.1,1,7,8,4,0,0,0,6,7,
"Dec 02, 2018 - NOP @ CHA",W,20:41,13,5,13,38.5,0,1,0,3,4,75,3,6,9,0,0,0,4,5,2,
Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,
"Apr 11, 2018 - LAL @ LAC",W,16:39,6,2,3,66.7,0,1,0,2,2,100,0,5,5,3,0,0,3,4,8,
"Apr 10, 2018 - LAL vs. HOU",L,17:51,17,7,12,58.3,0,1,0,3,3,100,5,3,8,1,2,0,3,2,-3,
"Apr 08, 2018 - LAL vs. UTA",L,24:41:00,17,6,12,50,0,0,0,5,5,100,3,4,7,4,0,0,2,2,-13,
"Apr 06, 2018 - LAL vs. MIN",L,32:35:00,20,5,11,45.5,0,0,0,10,10,100,1,9,10,2,0,0,5,3,-14,
"Apr 04, 2018 - LAL vs. SAS",W,22:56,12,6,14,42.9,0,0,0,0,0,0,1,3,4,5,0,0,2,3,-10,
"Apr 03, 2018 - LAL @ UTA",L,35:52:00,12,3,9,33.3,0,0,0,6,10,60,2,10,12,9,0,0,5,4,-16,
"Apr 01, 2018 - LAL vs. SAC",L,24:16:00,19,5,8,62.5,0,0,0,9,14,64.3,0,5,5,0,0,1,1,4,-4,
"Mar 30, 2018 - LAL vs. MIL",L,40:15:00,18,5,13,38.5,1,1,100,7,8,87.5,4,6,10,3,1,1,4,3,-19,
"Mar 28, 2018 - LAL vs. DAL",W,33:17:00,20,7,10,70,0,0,0,6,9,66.7,3,7,10,2,1,0,3,2,0,
"Mar 26, 2018 - LAL @ DET",L,32:16:00,23,7,13,53.8,0,0,0,9,10,90,1,10,11,1,1,0,5,5,-7,
"Mar 24, 2018 - LAL @ MEM",W,38:26:00,20,7,15,46.7,0,0,0,6,8,75,3,8,11,1,0,0,3,5,-8,
"Mar 22, 2018 - LAL @ NOP",L,35:13:00,23,9,16,56.3,0,0,0,5,8,62.5,3,7,10,2,0,1,2,4,7,
"Mar 19, 2018 - LAL @ IND",L,34:27:00,21,9,19,47.4,0,0,0,3,5,60,6,3,9,3,1,0,1,4,-12,
"Mar 16, 2018 - LAL vs. MIA",L,38:14:00,25,9,17,52.9,0,0,0,7,9,77.8,1,11,12,2,1,0,1,4,6,
"Mar 14, 2018 - LAL @ GSW",L,33:35:00,22,8,10,80,0,1,0,6,9,66.7,2,8,10,2,0,0,2,6,-9,
"Mar 13, 2018 - LAL vs. DEN",W,39:06:00,26,11,17,64.7,0,0,0,4,7,57.1,7,6,13,2,0,0,4,4,13,
"Mar 11, 2018 - LAL vs. CLE",W,37:59:00,36,14,18,77.8,0,0,0,8,10,80,6,8,14,7,1,2,4,3,19,
