Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Feb 11, 2018 - TOR @ CHA",W,18:11,4,2,6,33.3,0,0,0,0,0,0,1,2,3,2,0,1,0,1,25,
"Feb 08, 2018 - TOR vs. NYK",W,20:04,13,6,7,85.7,0,0,0,1,1,100,0,5,5,1,0,1,0,2,22,
"Feb 06, 2018 - TOR vs. BOS",W,23:38,4,2,4,50,0,0,0,0,0,0,1,4,5,1,0,2,2,4,16,
"Feb 04, 2018 - TOR vs. MEM",W,23:33,9,4,4,100,0,0,0,1,1,100,3,2,5,0,0,2,2,5,26,
"Feb 02, 2018 - TOR vs. POR",W,19:43,4,2,2,100,0,0,0,0,0,0,2,3,5,0,1,2,1,3,15,
"Feb 01, 2018 - TOR @ WAS",L,15:32,8,3,5,60,0,0,0,2,3,66.7,2,3,5,1,1,0,2,4,-7,
"Jan 30, 2018 - TOR vs. MIN",W,19:23,12,6,7,85.7,0,0,0,0,0,0,4,0,4,0,0,2,1,4,-9,
"Jan 28, 2018 - TOR vs. LAL",W,24:03:00,6,3,6,50,0,0,0,0,0,0,4,2,6,1,0,0,4,1,5,
"Jan 26, 2018 - TOR vs. UTA",L,20:38,4,1,6,16.7,0,0,0,2,2,100,4,2,6,0,0,5,0,0,-6,
"Jan 24, 2018 - TOR @ ATL",W,17:33,6,3,7,42.9,0,0,0,0,0,0,2,3,5,0,1,2,3,3,11,
"Jan 20, 2018 - TOR @ MIN",L,22:03,6,3,3,100,0,0,0,0,0,0,2,1,3,1,0,0,1,4,-12,
"Jan 19, 2018 - TOR vs. SAS",W,17:50,3,1,3,33.3,0,0,0,1,2,50,1,2,3,0,0,0,0,3,3,
"Jan 17, 2018 - TOR vs. DET",W,16:11,8,4,6,66.7,0,0,0,0,2,0,2,3,5,0,1,2,1,4,6,
"Jan 15, 2018 - TOR @ PHI",L,26:53:00,7,2,4,50,0,0,0,3,4,75,4,4,8,2,0,1,1,5,7,
"Jan 13, 2018 - TOR vs. GSW",L,18:08,5,2,4,50,0,0,0,1,2,50,3,3,6,2,0,1,1,3,5,
"Jan 11, 2018 - TOR vs. CLE",W,25:32:00,12,5,8,62.5,0,0,0,2,3,66.7,4,8,12,0,0,3,2,3,29,
"Jan 09, 2018 - TOR vs. MIA",L,8:42,3,1,2,50,0,0,0,1,2,50,1,0,1,0,0,0,1,1,-6,
"Jan 08, 2018 - TOR @ BKN",W,9:41,2,1,3,33.3,0,0,0,0,0,0,1,2,3,1,0,0,1,2,-2,
"Jan 05, 2018 - TOR @ MIL",W,8:30,2,1,2,50,0,0,0,0,0,0,1,2,3,0,0,0,1,5,-3,
"Jan 03, 2018 - TOR @ CHI",W,25:27:00,6,3,5,60,0,0,0,0,0,0,0,2,2,1,0,0,0,4,26,
"Jan 01, 2018 - TOR vs. MIL",W,17:11,4,2,3,66.7,0,0,0,0,0,0,1,1,2,2,1,0,0,3,-7,
"Dec 29, 2017 - TOR vs. ATL",W,19:20,6,3,5,60,0,0,0,0,0,0,3,7,10,1,0,3,1,2,11,
"Dec 27, 2017 - TOR @ OKC",L,21:09,13,6,8,75,0,0,0,1,3,33.3,1,5,6,0,0,1,0,2,13,
"Apr 12, 2017 - TOR @ CLE",W,22:53,7,3,3,100,0,0,0,1,2,50,2,3,5,2,0,1,0,5,-3,
"Apr 09, 2017 - TOR @ NYK",W,14:15,8,4,4,100,0,0,0,0,0,0,1,6,7,0,0,0,1,2,16,
"Apr 07, 2017 - TOR vs. MIA",W,3:29,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,-4,
"Apr 05, 2017 - TOR @ DET",W,12:53,4,2,4,50,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,
"Apr 04, 2017 - TOR @ IND",L,11:51,8,3,3,100,0,0,0,2,3,66.7,1,2,3,0,1,2,0,0,-5,
"Apr 02, 2017 - TOR vs. PHI",W,19:57,12,5,6,83.3,0,0,0,2,4,50,3,2,5,0,2,2,1,5,-3,
"Mar 31, 2017 - TOR vs. IND",W,14:15,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,2,-1,
"Mar 29, 2017 - TOR vs. CHA",L,6:08,0,0,1,0,0,0,0,0,0,0,3,1,4,0,0,0,0,1,-9,
"Mar 27, 2017 - TOR vs. ORL",W,12:57,12,5,6,83.3,0,0,0,2,4,50,4,0,4,0,0,0,2,2,-7,
"Mar 25, 2017 - TOR @ DAL",W,17:58,4,2,2,100,0,0,0,0,0,0,0,3,3,0,1,1,1,2,7,
"Mar 23, 2017 - TOR @ MIA",W,23:29,4,2,4,50,0,0,0,0,0,0,3,3,6,0,0,0,2,4,30,
"Mar 21, 2017 - TOR vs. CHI",W,13:01,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,2,3,-1,
"Mar 19, 2017 - TOR vs. IND",W,23:23,12,4,6,66.7,0,0,0,4,4,100,3,4,7,0,1,2,1,4,14,
"Mar 17, 2017 - TOR @ DET",W,13:05,0,0,2,0,0,0,0,0,0,0,3,3,6,0,0,0,2,3,-6,
"Mar 16, 2017 - TOR vs. OKC",L,16:42,6,2,3,66.7,0,0,0,2,2,100,1,1,2,0,0,2,0,2,-11,
"Mar 13, 2017 - TOR vs. DAL",W,12:22,4,1,1,100,0,0,0,2,2,100,0,2,2,1,2,1,3,3,7,
"Mar 11, 2017 - TOR @ MIA",L,19:08,6,3,8,37.5,0,0,0,0,2,0,6,3,9,0,0,0,0,3,3,
"Mar 08, 2017 - TOR @ NOP",W,8:22,2,1,1,100,0,0,0,0,2,0,1,1,2,0,0,0,0,0,-6,
"Mar 04, 2017 - TOR @ MIL",L,1:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,
"Mar 01, 2017 - TOR vs. WAS",L,6:47,2,1,1,100,0,0,0,0,0,0,1,1,2,0,0,0,0,0,-2,
"Feb 27, 2017 - TOR @ NYK",W,0:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,
